model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
LLaMA,2,A_i,2,1,0,0.51,0.368,0.51,0.396,0.0024,0.01105
LLaMA,2,A_i,3,1,0,0.51,0.4,0.51,0.409,0.0024,0.009846
LLaMA,2,A_i,1,0,1,0.46,0.356,0.46,0.367,0.0034,0.001237
LLaMA,2,A_i,1,1,1,0.46,0.302,0.46,0.344,0.0064,0.003409
LLaMA,2,A_i,2,0,1,0.46,0.31,0.46,0.353,0.0014,0.001343
LLaMA,2,A_i,1,0,0,0.45,0.317,0.45,0.356,0.001,0.003488
LLaMA,2,A_i,2,1,1,0.45,0.27,0.45,0.331,0.004,0.001825
LLaMA,2,A_i,1,1,0,0.41,0.31,0.41,0.324,0.0084,0.00204
LLaMA,2,Able1,3,0,1,0.63,0.687,0.63,0.596,0.0036,0.00728
LLaMA,2,Able1,4,0,0,0.62,0.705,0.62,0.577,0.0026,0.004746
LLaMA,2,Able1,5,1,0,0.61,0.67,0.61,0.572,0.0014,0.004098
LLaMA,2,Able1,2,0,1,0.59,0.689,0.59,0.533,0.0024,0.008269
LLaMA,2,Able1,4,0,1,0.59,0.688,0.59,0.538,0.0024,0.00794
LLaMA,2,Able1,5,0,1,0.58,0.637,0.58,0.543,0.0006,0.001325
LLaMA,2,Able1,3,0,0,0.57,0.597,0.57,0.53,0.0016,0.004095
LLaMA,2,Able1,3,1,0,0.55,0.479,0.55,0.454,0.003,0.012227
LLaMA,2,Able1,4,1,0,0.55,0.596,0.55,0.475,0.005,0.010811
LLaMA,2,Able1,2,1,1,0.54,0.402,0.54,0.439,0.0074,0.022398
LLaMA,2,Able1,5,0,0,0.54,0.554,0.54,0.509,0.0004,0.001308
LLaMA,2,Able1,5,1,1,0.54,0.451,0.54,0.456,0.0024,0.012353
LLaMA,2,Able1,1,0,0,0.51,0.47,0.51,0.443,0.0044,0.008189
LLaMA,2,Able1,2,1,0,0.51,0.404,0.51,0.415,0.0024,0.008937
LLaMA,2,Able1,3,1,1,0.5,0.485,0.5,0.388,0.003,0.002136
LLaMA,2,Able1,2,0,0,0.49,0.487,0.49,0.443,0.0004,0.001031
LLaMA,2,Able1,4,1,1,0.48,0.37,0.48,0.379,0.0006,0.001943
LLaMA,2,Able1,1,0,1,0.47,0.533,0.47,0.391,0.0096,0.006748
LLaMA,2,Able1,1,1,1,0.45,0.349,0.45,0.332,0.011,0.003654
LLaMA,2,Able1,1,1,0,0.43,0.364,0.43,0.356,0.0046,0.000813
LLaMA,2,Able2,3,0,1,0.79,0.855,0.79,0.777,0.0044,0.005719
LLaMA,2,Able2,4,0,0,0.75,0.81,0.75,0.734,0.005,0.007367
LLaMA,2,Able2,5,0,0,0.75,0.832,0.75,0.726,0.008,0.01221
LLaMA,2,Able2,2,0,1,0.74,0.806,0.74,0.724,0.0014,0.002232
LLaMA,2,Able2,5,0,1,0.74,0.827,0.74,0.711,0.0114,0.018103
LLaMA,2,Able2,3,0,0,0.73,0.82,0.73,0.703,0.0066,0.010289
LLaMA,2,Able2,4,0,1,0.73,0.827,0.73,0.701,0.0086,0.012306
LLaMA,2,Able2,1,0,0,0.68,0.769,0.68,0.651,0.0006,0.001758
LLaMA,2,Able2,1,0,1,0.68,0.784,0.68,0.639,0.0066,0.014271
LLaMA,2,Able2,5,1,0,0.67,0.804,0.67,0.621,0.0056,0.01207
LLaMA,2,Able2,2,0,0,0.66,0.743,0.66,0.633,0.0014,0.001778
LLaMA,2,Able2,3,1,0,0.62,0.672,0.62,0.543,0.0086,0.022588
LLaMA,2,Able2,2,1,0,0.61,0.76,0.61,0.539,0.0034,0.010268
LLaMA,2,Able2,2,1,1,0.61,0.558,0.61,0.523,0.0124,0.031662
LLaMA,2,Able2,3,1,1,0.59,0.548,0.59,0.495,0.0094,0.027049
LLaMA,2,Able2,4,1,0,0.56,0.61,0.56,0.516,0.0034,0.003139
LLaMA,2,Able2,5,1,1,0.56,0.509,0.56,0.466,0.0034,0.016168
LLaMA,2,Able2,4,1,1,0.55,0.48,0.55,0.454,0.004,0.014669
LLaMA,2,Able2,1,1,0,0.52,0.647,0.52,0.44,0.0036,0.002136
LLaMA,2,Able2,1,1,1,0.49,0.423,0.49,0.385,0.0014,0.00242
LLaMA,2,Able_i,1,0,0,0.66,0.779,0.66,0.612,0.0054,0.012838
LLaMA,2,Able_i,1,1,1,0.66,0.7,0.66,0.587,0.0194,0.040416
LLaMA,2,Able_i,4,0,0,0.65,0.671,0.65,0.582,0.017,0.035643
LLaMA,2,Able_i,1,0,1,0.62,0.639,0.62,0.559,0.0046,0.015971
LLaMA,2,Able_i,1,1,0,0.62,0.756,0.62,0.562,0.0016,0.005611
LLaMA,2,Able_i,2,0,0,0.61,0.626,0.61,0.553,0.0064,0.016196
LLaMA,2,Able_i,2,1,0,0.61,0.569,0.61,0.522,0.0104,0.028979
LLaMA,2,Able_i,4,0,1,0.61,0.73,0.61,0.551,0.0024,0.009125
LLaMA,2,Able_i,4,1,0,0.61,0.553,0.61,0.524,0.0134,0.032341
LLaMA,2,Able_i,2,1,1,0.6,0.475,0.6,0.494,0.016,0.040187
LLaMA,2,Able_i,2,0,1,0.59,0.62,0.59,0.516,0.0074,0.018978
LLaMA,2,Able_i,3,1,0,0.59,0.557,0.59,0.494,0.0084,0.025462
LLaMA,2,Able_i,3,1,1,0.59,0.543,0.59,0.504,0.0084,0.023939
LLaMA,2,Able_i,4,1,1,0.59,0.542,0.59,0.497,0.0084,0.026721
LLaMA,2,Able_i,3,0,0,0.58,0.506,0.58,0.504,0.0056,0.020286
LLaMA,2,Able_i,3,0,1,0.57,0.528,0.57,0.484,0.0046,0.01541
LLaMA,2,Adv0,2,0,0,0.85,0.888,0.85,0.842,0.008,0.010051
LLaMA,2,Adv0,2,1,0,0.85,0.882,0.85,0.846,0.001,0.001174
LLaMA,2,Adv0,2,0,1,0.82,0.869,0.82,0.81,0.0066,0.008548
LLaMA,2,Adv0,2,1,1,0.72,0.822,0.72,0.678,0.0156,0.028678
LLaMA,2,Adv0,1,0,0,0.7,0.747,0.7,0.68,0.007,0.01132
LLaMA,2,Adv0,1,0,1,0.67,0.712,0.67,0.657,0.0016,0.001198
LLaMA,2,Adv0,1,1,0,0.63,0.652,0.63,0.611,0.0026,0.004929
LLaMA,2,Adv0,1,1,1,0.57,0.622,0.57,0.533,0.0006,0.001028
LLaMA,2,Adv1,2,0,0,0.59,0.676,0.59,0.546,0.0004,0.000957
LLaMA,2,Adv1,2,1,1,0.59,0.726,0.59,0.518,0.0034,0.011022
LLaMA,2,Adv1,2,0,1,0.58,0.697,0.58,0.519,0.0036,0.007463
LLaMA,2,Adv1,2,1,0,0.57,0.677,0.57,0.512,0.0026,0.003807
LLaMA,2,Adv1,1,1,1,0.47,0.585,0.47,0.39,0.0096,0.003248
LLaMA,2,Adv1,1,0,0,0.41,0.459,0.41,0.34,0.0144,0.007276
LLaMA,2,Adv1,1,1,0,0.38,0.331,0.38,0.316,0.0156,0.011656
LLaMA,2,Adv1,1,0,1,0.37,0.428,0.37,0.305,0.0256,0.01398
LLaMA,2,Anti,2,0,1,0.6,0.659,0.6,0.514,0.007,0.020561
LLaMA,2,Anti,1,1,0,0.59,0.457,0.59,0.487,0.0124,0.035378
LLaMA,2,Anti,1,0,0,0.57,0.456,0.57,0.458,0.0076,0.023957
LLaMA,2,Anti,2,1,0,0.57,0.526,0.57,0.472,0.0056,0.019641
LLaMA,2,Anti,2,0,0,0.56,0.541,0.56,0.454,0.0034,0.01393
LLaMA,2,Anti,3,0,0,0.56,0.473,0.56,0.466,0.0064,0.020243
LLaMA,2,Anti,3,0,1,0.56,0.442,0.56,0.449,0.0054,0.020102
LLaMA,2,Anti,3,1,0,0.56,0.502,0.56,0.47,0.0034,0.014463
LLaMA,2,Anti,1,0,1,0.55,0.414,0.55,0.44,0.004,0.017884
LLaMA,2,Anti,2,1,1,0.55,0.45,0.55,0.425,0.006,0.018846
LLaMA,2,Anti,1,1,1,0.53,0.423,0.53,0.407,0.0016,0.010871
LLaMA,2,Anti,3,1,1,0.52,0.406,0.52,0.405,0.0016,0.00771
LLaMA,2,Bon,3,0,0,0.59,0.603,0.59,0.524,0.0034,0.0142
LLaMA,2,Bon,3,0,1,0.58,0.613,0.58,0.502,0.0046,0.01433
LLaMA,2,Bon,1,0,0,0.56,0.513,0.56,0.465,0.0034,0.015763
LLaMA,2,Bon,1,0,1,0.56,0.509,0.56,0.466,0.0034,0.016168
LLaMA,2,Bon,2,0,1,0.53,0.573,0.53,0.467,0.0046,0.007984
LLaMA,2,Bon,1,1,1,0.52,0.505,0.52,0.403,0.0006,0.00353
LLaMA,2,Bon,2,0,0,0.52,0.637,0.52,0.439,0.0036,0.004355
LLaMA,2,Bon,3,1,0,0.51,0.462,0.51,0.408,0.0014,0.003968
LLaMA,2,Bon,3,1,1,0.5,0.433,0.5,0.391,0.001,0.003348
LLaMA,2,Bon,1,1,0,0.47,0.401,0.47,0.367,0.0036,0.001682
LLaMA,2,Bon,2,1,0,0.45,0.339,0.45,0.348,0.006,0.001464
LLaMA,2,Bon,2,1,1,0.44,0.371,0.44,0.334,0.0154,0.006415
LLaMA,2,Cap,2,0,0,0.76,0.845,0.76,0.736,0.0104,0.015034
LLaMA,2,Cap,3,0,1,0.72,0.836,0.72,0.668,0.0256,0.043846
LLaMA,2,Cap,3,1,1,0.72,0.826,0.72,0.671,0.0216,0.039694
LLaMA,2,Cap,1,0,0,0.71,0.808,0.71,0.671,0.0134,0.02367
LLaMA,2,Cap,2,0,1,0.7,0.824,0.7,0.644,0.022,0.038926
LLaMA,2,Cap,1,1,0,0.69,0.812,0.69,0.634,0.0184,0.034273
LLaMA,2,Cap,2,1,0,0.69,0.718,0.69,0.628,0.0194,0.041888
LLaMA,2,Cap,3,1,0,0.69,0.823,0.69,0.627,0.0254,0.043035
LLaMA,2,Cap,2,1,1,0.68,0.698,0.68,0.617,0.0186,0.040607
LLaMA,2,Cap,1,1,1,0.66,0.579,0.66,0.594,0.0284,0.056032
LLaMA,2,Cap,3,0,0,0.66,0.803,0.66,0.6,0.0114,0.020865
LLaMA,2,Cap,1,0,1,0.63,0.545,0.63,0.557,0.0126,0.035395
LLaMA,2,Caus,1,0,0,0.55,0.65,0.55,0.48,0.001,0.002571
LLaMA,2,Caus,3,1,0,0.51,0.361,0.51,0.408,0.0004,0.008504
LLaMA,2,Caus,4,1,0,0.51,0.453,0.51,0.415,0.0004,0.004856
LLaMA,2,Caus,1,0,1,0.5,0.341,0.5,0.383,0.001,0.006406
LLaMA,2,Caus,1,1,0,0.5,0.348,0.5,0.391,0.001,0.006514
LLaMA,2,Caus,1,1,1,0.5,0.3,0.5,0.348,0.0,0.000816
LLaMA,2,Caus,2,0,0,0.5,0.411,0.5,0.404,0.001,0.005878
LLaMA,2,Caus,3,0,0,0.5,0.417,0.5,0.422,0.002,0.00773
LLaMA,2,Caus,2,0,1,0.49,0.347,0.49,0.366,0.0004,0.002776
LLaMA,2,Caus,3,0,1,0.49,0.347,0.49,0.391,0.0014,0.00748
LLaMA,2,Caus,3,1,1,0.49,0.28,0.49,0.341,0.0004,0.000255
LLaMA,2,Caus,4,0,0,0.49,0.387,0.49,0.406,0.0024,0.006273
LLaMA,2,Caus,4,1,1,0.47,0.267,0.47,0.334,0.0036,0.0
LLaMA,2,Caus,4,0,1,0.45,0.296,0.45,0.345,0.004,0.000264
LLaMA,2,Caus,2,1,1,0.43,0.228,0.43,0.297,0.0096,0.002699
LLaMA,2,Caus,2,1,0,0.42,0.237,0.42,0.299,0.0086,0.001411
LLaMA,2,Colloc_préposition,1,0,0,0.6,0.528,0.6,0.522,0.009,0.026698
LLaMA,2,Colloc_préposition,1,0,1,0.58,0.539,0.58,0.481,0.0086,0.024254
LLaMA,2,Colloc_préposition,1,1,0,0.56,0.591,0.56,0.481,0.0024,0.008586
LLaMA,2,Colloc_préposition,1,1,1,0.51,0.363,0.51,0.385,0.0004,0.005325
LLaMA,2,Collocation_verbale,1,1,0,0.58,0.501,0.58,0.493,0.0086,0.024259
LLaMA,2,Collocation_verbale,1,1,1,0.56,0.427,0.56,0.456,0.0094,0.026136
LLaMA,2,Collocation_verbale,1,0,0,0.48,0.461,0.48,0.402,0.0026,0.002829
LLaMA,2,Collocation_verbale,1,0,1,0.48,0.323,0.48,0.365,0.0046,0.006087
LLaMA,2,Contr,2,0,0,0.59,0.596,0.59,0.515,0.0114,0.024262
LLaMA,2,Contr,3,0,0,0.57,0.665,0.57,0.501,0.0026,0.008675
LLaMA,2,Contr,2,1,0,0.56,0.516,0.56,0.462,0.0034,0.015127
LLaMA,2,Contr,3,1,1,0.56,0.442,0.56,0.449,0.0054,0.020102
LLaMA,2,Contr,2,0,1,0.55,0.417,0.55,0.443,0.011,0.027493
LLaMA,2,Contr,2,1,1,0.55,0.401,0.55,0.431,0.01,0.026133
LLaMA,2,Contr,1,0,0,0.53,0.466,0.53,0.444,0.0016,0.00862
LLaMA,2,Contr,3,0,1,0.53,0.476,0.53,0.434,0.0006,0.008172
LLaMA,2,Contr,1,1,1,0.52,0.328,0.52,0.392,0.0046,0.016621
LLaMA,2,Contr,3,1,0,0.52,0.413,0.52,0.397,0.0006,0.007345
LLaMA,2,Contr,1,1,0,0.51,0.35,0.51,0.395,0.0024,0.010781
LLaMA,2,Contr,1,0,1,0.47,0.318,0.47,0.36,0.0006,0.002383
LLaMA,2,Conv-ij,2,1,0,0.57,0.579,0.57,0.496,0.0026,0.011819
LLaMA,2,Conv-ij,3,1,1,0.57,0.432,0.57,0.465,0.0076,0.026391
LLaMA,2,Conv-ij,3,1,0,0.56,0.435,0.56,0.458,0.0094,0.026801
LLaMA,2,Conv-ij,2,0,0,0.55,0.556,0.55,0.474,0.001,0.007683
LLaMA,2,Conv-ij,1,1,1,0.54,0.586,0.54,0.446,0.0004,0.004674
LLaMA,2,Conv-ij,2,1,1,0.54,0.479,0.54,0.452,0.0014,0.009466
LLaMA,2,Conv-ij,1,0,0,0.53,0.44,0.53,0.446,0.0016,0.010134
LLaMA,2,Conv-ij,3,0,1,0.53,0.38,0.53,0.411,0.0036,0.014967
LLaMA,2,Conv-ij,1,1,0,0.52,0.555,0.52,0.436,0.0016,0.004257
LLaMA,2,Conv-ij,2,0,1,0.51,0.455,0.51,0.416,0.0044,0.006122
LLaMA,2,Conv-ij,3,0,0,0.5,0.358,0.5,0.399,0.001,0.008538
LLaMA,2,Conv-ij,1,0,1,0.47,0.408,0.47,0.374,0.0036,0.001503
LLaMA,2,Dérivation_adjectivale,1,0,1,0.67,0.797,0.67,0.615,0.0106,0.022963
LLaMA,2,Dérivation_adjectivale,1,0,0,0.66,0.742,0.66,0.615,0.0174,0.026638
LLaMA,2,Dérivation_adjectivale,1,1,0,0.65,0.781,0.65,0.592,0.007,0.017175
LLaMA,2,Dérivation_adjectivale,1,1,1,0.59,0.654,0.59,0.501,0.0054,0.017252
LLaMA,2,Dérivation_adverbiale,1,1,0,0.74,0.81,0.74,0.721,0.0034,0.005679
LLaMA,2,Dérivation_adverbiale,1,0,0,0.73,0.794,0.73,0.708,0.0056,0.01065
LLaMA,2,Dérivation_adverbiale,1,0,1,0.7,0.797,0.7,0.658,0.011,0.022568
LLaMA,2,Dérivation_adverbiale,1,1,1,0.64,0.661,0.64,0.58,0.0074,0.021021
LLaMA,2,Dérivation_nominale,1,0,0,0.5,0.422,0.5,0.416,0.013,0.016861
LLaMA,2,Dérivation_nominale,1,0,1,0.49,0.347,0.49,0.385,0.0004,0.005459
LLaMA,2,Dérivation_nominale,1,1,1,0.46,0.3,0.46,0.344,0.0034,0.000243
LLaMA,2,Dérivation_nominale,1,1,0,0.45,0.402,0.45,0.379,0.008,0.005319
LLaMA,2,Dérivation_verbale,1,1,0,0.64,0.777,0.64,0.578,0.0064,0.015781
LLaMA,2,Dérivation_verbale,1,0,0,0.62,0.76,0.62,0.554,0.0056,0.013756
LLaMA,2,Dérivation_verbale,1,0,1,0.57,0.516,0.57,0.479,0.0046,0.01996
LLaMA,2,Dérivation_verbale,1,1,1,0.53,0.484,0.53,0.428,0.0016,0.007628
LLaMA,2,Epit,1,0,0,0.63,0.569,0.63,0.551,0.0126,0.034392
LLaMA,2,Epit,1,0,1,0.55,0.465,0.55,0.421,0.006,0.017088
LLaMA,2,Epit,2,1,0,0.54,0.392,0.54,0.438,0.0064,0.020635
LLaMA,2,Epit,3,0,1,0.54,0.429,0.54,0.421,0.0024,0.011995
LLaMA,2,Epit,2,0,0,0.52,0.42,0.52,0.425,0.0026,0.010795
LLaMA,2,Epit,2,1,1,0.52,0.374,0.52,0.398,0.0016,0.009388
LLaMA,2,Epit,3,1,0,0.52,0.381,0.52,0.405,0.0006,0.008058
LLaMA,2,Epit,2,0,1,0.51,0.37,0.51,0.393,0.0004,0.005395
LLaMA,2,Epit,3,0,0,0.51,0.429,0.51,0.418,0.0014,0.004969
LLaMA,2,Epit,3,1,1,0.5,0.3,0.5,0.357,0.0,0.002198
LLaMA,2,Epit,1,1,1,0.49,0.287,0.49,0.349,0.0004,0.001024
LLaMA,2,Epit,1,1,0,0.48,0.328,0.48,0.375,0.0006,0.002596
LLaMA,2,Equip,2,0,1,0.71,0.804,0.71,0.673,0.0104,0.020274
LLaMA,2,Equip,3,1,0,0.71,0.811,0.71,0.677,0.0064,0.01141
LLaMA,2,Equip,1,0,1,0.7,0.803,0.7,0.668,0.004,0.006904
LLaMA,2,Equip,3,0,0,0.7,0.812,0.7,0.658,0.011,0.018767
LLaMA,2,Equip,3,0,1,0.7,0.629,0.7,0.628,0.031,0.063028
LLaMA,2,Equip,1,0,0,0.68,0.782,0.68,0.639,0.0066,0.014401
LLaMA,2,Equip,2,1,0,0.68,0.788,0.68,0.632,0.0146,0.025374
LLaMA,2,Equip,2,0,0,0.67,0.732,0.67,0.641,0.0046,0.008567
LLaMA,2,Equip,3,1,1,0.66,0.795,0.66,0.597,0.0134,0.027131
LLaMA,2,Equip,1,1,0,0.65,0.682,0.65,0.584,0.011,0.028383
LLaMA,2,Equip,2,1,1,0.64,0.685,0.64,0.565,0.0134,0.031127
LLaMA,2,Equip,1,1,1,0.61,0.648,0.61,0.541,0.0074,0.019659
LLaMA,2,Fact0,5,0,0,0.73,0.804,0.73,0.705,0.0096,0.014702
LLaMA,2,Fact0,4,0,0,0.68,0.753,0.68,0.651,0.0076,0.010541
LLaMA,2,Fact0,5,0,1,0.66,0.687,0.66,0.593,0.0164,0.036191
LLaMA,2,Fact0,4,0,1,0.64,0.593,0.64,0.555,0.0194,0.04357
LLaMA,2,Fact0,3,0,0,0.62,0.597,0.62,0.565,0.0166,0.032723
LLaMA,2,Fact0,2,0,0,0.61,0.667,0.61,0.564,0.0044,0.009662
LLaMA,2,Fact0,3,0,1,0.61,0.647,0.61,0.535,0.0064,0.020027
LLaMA,2,Fact0,4,1,1,0.61,0.783,0.61,0.53,0.0054,0.011838
LLaMA,2,Fact0,5,1,0,0.61,0.566,0.61,0.518,0.0144,0.036379
LLaMA,2,Fact0,2,0,1,0.6,0.734,0.6,0.531,0.003,0.009323
LLaMA,2,Fact0,5,1,1,0.6,0.659,0.6,0.518,0.005,0.015969
LLaMA,2,Fact0,1,0,1,0.59,0.691,0.59,0.529,0.0024,0.008931
LLaMA,2,Fact0,4,1,0,0.58,0.621,0.58,0.497,0.0046,0.016347
LLaMA,2,Fact0,1,0,0,0.57,0.558,0.57,0.509,0.0066,0.015909
LLaMA,2,Fact0,1,1,1,0.57,0.687,0.57,0.51,0.0006,0.001501
LLaMA,2,Fact0,2,1,1,0.57,0.609,0.57,0.491,0.0016,0.009138
LLaMA,2,Fact0,3,1,1,0.56,0.524,0.56,0.468,0.0034,0.01273
LLaMA,2,Fact0,3,1,0,0.55,0.493,0.55,0.451,0.006,0.017985
LLaMA,2,Fact0,2,1,0,0.54,0.476,0.54,0.447,0.0024,0.010788
LLaMA,2,Fact0,1,1,0,0.53,0.508,0.53,0.462,0.0026,0.008829
LLaMA,2,Fact1,1,0,0,0.58,0.5,0.58,0.497,0.0066,0.022194
LLaMA,2,Fact1,2,0,0,0.57,0.694,0.57,0.498,0.0026,0.006278
LLaMA,2,Fact1,2,1,0,0.56,0.576,0.56,0.486,0.0054,0.012789
LLaMA,2,Fact1,4,0,0,0.56,0.473,0.56,0.468,0.0054,0.01914
LLaMA,2,Fact1,1,0,1,0.55,0.411,0.55,0.445,0.004,0.01864
LLaMA,2,Fact1,3,0,1,0.55,0.461,0.55,0.456,0.006,0.018082
LLaMA,2,Fact1,4,0,1,0.55,0.444,0.55,0.427,0.006,0.019856
LLaMA,2,Fact1,3,1,0,0.54,0.418,0.54,0.454,0.0144,0.033261
LLaMA,2,Fact1,4,1,0,0.54,0.526,0.54,0.427,0.0014,0.009249
LLaMA,2,Fact1,5,0,0,0.54,0.405,0.54,0.429,0.0024,0.01371
LLaMA,2,Fact1,4,1,1,0.53,0.515,0.53,0.417,0.0006,0.006418
LLaMA,2,Fact1,5,0,1,0.53,0.39,0.53,0.415,0.0036,0.013215
LLaMA,2,Fact1,1,1,0,0.52,0.471,0.52,0.444,0.0016,0.007931
LLaMA,2,Fact1,2,0,1,0.51,0.453,0.51,0.406,0.0004,0.003756
LLaMA,2,Fact1,2,1,1,0.51,0.453,0.51,0.4,0.0004,0.003841
LLaMA,2,Fact1,5,1,0,0.51,0.377,0.51,0.403,0.0014,0.009331
LLaMA,2,Fact1,3,0,0,0.5,0.491,0.5,0.423,0.004,0.008226
LLaMA,2,Fact1,5,1,1,0.5,0.35,0.5,0.38,0.0,0.004072
LLaMA,2,Fact1,3,1,1,0.49,0.297,0.49,0.358,0.0004,0.003756
